budget	target	target_size	target_pooled_depth	dvaf	recovery	null_fire	feasible_frac	recovery_gated	null_fire_gated
0.03	Lym	5790	175.0	0.005	0.0	0.0	0.0		0.0
0.03	Lym	5790	175.0	0.01	0.0	0.1	0.0		0.0
0.03	Lym	5790	175.0	0.02	0.0	0.1	0.0		0.0
0.03	Lym	5790	175.0	0.05	0.1	0.1	0.0		0.0
0.03	Lym	5790	175.0	0.1	0.3	0.1	0.0		0.0
0.03	Lym	5790	175.0	0.2	0.9	0.2	0.0		0.0
0.03	Mye_P	1372	39.0	0.005	0.0	0.1	0.0		0.0
0.03	Mye_P	1372	39.0	0.01	0.0	0.0	0.0		0.0
0.03	Mye_P	1372	39.0	0.02	0.3	0.1	0.0		0.0
0.03	Mye_P	1372	39.0	0.05	0.4	0.0	0.0		0.0
0.03	Mye_P	1372	39.0	0.1	0.8	0.0	0.0		0.0
0.03	Mye_P	1372	39.0	0.2	1.0	0.0	0.0		0.0
0.03	Mye	1034	28.0	0.005	0.0	0.1	0.0		0.0
0.03	Mye	1034	28.0	0.01	0.0	0.1	0.0		0.0
0.03	Mye	1034	28.0	0.02	0.0	0.0	0.0		0.0
0.03	Mye	1034	28.0	0.05	0.1	0.1	0.0		0.0
0.03	Mye	1034	28.0	0.1	0.5	0.1	0.0		0.0
0.03	Mye	1034	28.0	0.2	1.0	0.1	0.0		0.0
0.03	Lym_P	411	13.0	0.005	0.0	0.1	0.0		0.0
0.03	Lym_P	411	13.0	0.01	0.0	0.1	0.0		0.0
0.03	Lym_P	411	13.0	0.02	0.1	0.1	0.0		0.0
0.03	Lym_P	411	13.0	0.05	0.0	0.0	0.0		0.0
0.03	Lym_P	411	13.0	0.1	0.2	0.1	0.0		0.0
0.03	Lym_P	411	13.0	0.2	0.7	0.0	0.0		0.0
0.05	Lym	5790	294.0	0.005	0.0	0.0	0.0		0.0
0.05	Lym	5790	294.0	0.01	0.0	0.1	0.0		0.0
0.05	Lym	5790	294.0	0.02	0.0	0.0	0.0		0.0
0.05	Lym	5790	294.0	0.05	0.3	0.0	0.0		0.0
0.05	Lym	5790	294.0	0.1	0.9	0.0	0.0		0.0
0.05	Lym	5790	294.0	0.2	1.0	0.1	0.0		0.0
0.05	Mye_P	1372	65.0	0.005	0.0	0.2	0.0		0.0
0.05	Mye_P	1372	65.0	0.01	0.0	0.0	0.0		0.0
0.05	Mye_P	1372	65.0	0.02	0.2	0.0	0.0		0.0
0.05	Mye_P	1372	65.0	0.05	0.6	0.0	0.0		0.0
0.05	Mye_P	1372	65.0	0.1	0.8	0.0	0.0		0.0
0.05	Mye_P	1372	65.0	0.2	1.0	0.0	0.0		0.0
0.05	Mye	1034	53.0	0.005	0.0	0.1	0.0		0.0
0.05	Mye	1034	53.0	0.01	0.0	0.0	0.0		0.0
0.05	Mye	1034	53.0	0.02	0.3	0.0	0.0		0.0
0.05	Mye	1034	53.0	0.05	0.7	0.1	0.0		0.0
0.05	Mye	1034	53.0	0.1	0.9	0.0	0.0		0.0
0.05	Mye	1034	53.0	0.2	1.0	0.0	0.0		0.0
0.05	Lym_P	411	21.0	0.005	0.1	0.0	0.0		0.0
0.05	Lym_P	411	21.0	0.01	0.0	0.2	0.0		0.0
0.05	Lym_P	411	21.0	0.02	0.0	0.1	0.0		0.0
0.05	Lym_P	411	21.0	0.05	0.4	0.0	0.0		0.0
0.05	Lym_P	411	21.0	0.1	0.7	0.0	0.0		0.0
0.05	Lym_P	411	21.0	0.2	0.7	0.2	0.0		0.0
0.08	Lym	5790	475.0	0.005	0.0	0.2	0.0		0.0
0.08	Lym	5790	475.0	0.01	0.0	0.1	0.0		0.0
0.08	Lym	5790	475.0	0.02	0.0	0.0	0.0		0.0
0.08	Lym	5790	475.0	0.05	0.5	0.0	0.0		0.0
0.08	Lym	5790	475.0	0.1	1.0	0.1	0.0		0.0
0.08	Lym	5790	475.0	0.2	1.0	0.0	0.0		0.0
0.08	Mye_P	1372	109.0	0.005	0.0	0.0	0.0		0.0
0.08	Mye_P	1372	109.0	0.01	0.0	0.0	0.0		0.0
0.08	Mye_P	1372	109.0	0.02	0.2	0.0	0.0		0.0
0.08	Mye_P	1372	109.0	0.05	0.8	0.0	0.0		0.0
0.08	Mye_P	1372	109.0	0.1	1.0	0.0	0.0		0.0
0.08	Mye_P	1372	109.0	0.2	1.0	0.1	0.0		0.0
0.08	Mye	1034	81.0	0.005	0.0	0.0	0.0		0.0
0.08	Mye	1034	81.0	0.01	0.1	0.0	0.0		0.0
