depth	vaf	carrier_frac	rec_exclusive	rec_differential	null_fire_rate	n_seed
3	0.005	0.15	0.0	1.0	0.0	10
3	0.005	0.5	0.0	1.0	0.0	10
3	0.005	1.0	0.0	1.0	0.0	10
3	0.01	0.15	0.0	1.0	0.0	10
3	0.01	0.5	0.0	1.0	0.0	10
3	0.01	1.0	0.0	1.0	0.0	10
3	0.02	0.15	0.0	1.0	0.0	10
3	0.02	0.5	0.0	1.0	0.0	10
3	0.02	1.0	0.0	1.0	0.0	10
3	0.05	0.15	0.1	1.0	0.0	10
3	0.05	0.5	0.0	1.0	0.0	10
3	0.05	1.0	0.0	1.0	0.0	10
3	0.1	0.15	0.0	1.0	0.0	10
3	0.1	0.5	0.1	1.0	0.0	10
3	0.1	1.0	1.0	1.0	0.0	10
3	0.25	0.15	1.0	1.0	0.0	10
3	0.25	0.5	1.0	1.0	0.0	10
3	0.25	1.0	1.0	1.0	0.0	10
5	0.005	0.15	0.0	1.0	0.0	10
5	0.005	0.5	0.0	1.0	0.0	10
5	0.005	1.0	0.0	1.0	0.0	10
5	0.01	0.15	0.0	1.0	0.0	10
5	0.01	0.5	0.0	1.0	0.0	10
5	0.01	1.0	0.0	1.0	0.0	10
5	0.02	0.15	0.0	1.0	0.0	10
5	0.02	0.5	0.0	1.0	0.0	10
5	0.02	1.0	0.0	1.0	0.1	10
5	0.05	0.15	0.0	1.0	0.0	10
5	0.05	0.5	0.0	1.0	0.0	10
5	0.05	1.0	0.0	1.0	0.0	10
5	0.1	0.15	0.4	1.0	0.0	10
5	0.1	0.5	1.0	1.0	0.0	10
5	0.1	1.0	1.0	1.0	0.0	10
5	0.25	0.15	1.0	1.0	0.0	10
5	0.25	0.5	1.0	1.0	0.0	10
5	0.25	1.0	1.0	1.0	0.0	10
10	0.005	0.15	0.0	1.0	0.0	10
10	0.005	0.5	0.0	1.0	0.0	10
10	0.005	1.0	0.0	1.0	0.0	10
10	0.01	0.15	0.0	1.0	0.0	10
10	0.01	0.5	0.0	1.0	0.0	10
10	0.01	1.0	0.0	1.0	0.0	10
10	0.02	0.15	0.0	1.0	0.0	10
10	0.02	0.5	0.0	1.0	0.0	10
10	0.02	1.0	0.0	1.0	0.0	10
10	0.05	0.15	0.3	1.0	0.0	10
10	0.05	0.5	0.6	1.0	0.0	10
10	0.05	1.0	0.0	1.0	0.0	10
10	0.1	0.15	1.0	1.0	0.0	10
10	0.1	0.5	1.0	1.0	0.0	10
10	0.1	1.0	1.0	1.0	0.0	10
10	0.25	0.15	1.0	1.0	0.0	10
10	0.25	0.5	1.0	1.0	0.0	10
10	0.25	1.0	0.9	1.0	0.0	10
20	0.005	0.15	0.0	1.0	0.0	10
20	0.005	0.5	0.0	1.0	0.0	10
20	0.005	1.0	0.0	1.0	0.0	10
20	0.01	0.15	0.0	1.0	0.0	10
20	0.01	0.5	0.0	1.0	0.0	10
20	0.01	1.0	0.0	1.0	0.0	10
20	0.02	0.15	0.0	1.0	0.0	10
20	0.02	0.5	0.0	1.0	0.0	10
20	0.02	1.0	0.0	1.0	0.0	10
20	0.05	0.15	1.0	1.0	0.0	10
20	0.05	0.5	1.0	1.0	0.0	10
20	0.05	1.0	0.4	1.0	0.0	10
20	0.1	0.15	1.0	1.0	0.0	10
20	0.1	0.5	1.0	1.0	0.0	10
20	0.1	1.0	1.0	1.0	0.0	10
20	0.25	0.15	1.0	1.0	0.0	10
20	0.25	0.5	1.0	1.0	0.0	10
20	0.25	1.0	0.9	1.0	0.0	10
full	0.005	0.15	0.0	1.0	0.0	10
full	0.005	0.5	0.0	1.0	0.0	10
full	0.005	1.0	0.0	1.0	0.0	10
full	0.01	0.15	0.0	1.0	0.0	10
full	0.01	0.5	0.0	1.0	0.0	10
full	0.01	1.0	0.0	1.0	0.0	10
full	0.02	0.15	0.0	1.0	0.0	10
full	0.02	0.5	0.0	1.0	0.0	10
full	0.02	1.0	0.0	1.0	0.0	10
full	0.05	0.15	1.0	1.0	0.0	10
full	0.05	0.5	0.8	1.0	0.0	10
full	0.05	1.0	0.6	1.0	0.0	10
full	0.1	0.15	1.0	1.0	0.0	10
full	0.1	0.5	1.0	1.0	0.0	10
full	0.1	1.0	1.0	1.0	0.0	10
full	0.25	0.15	1.0	1.0	0.0	10
full	0.25	0.5	1.0	1.0	0.0	10
full	0.25	1.0	1.0	1.0	0.0	10
